Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
"Demon Lord, Fraz-Urb'Luu",Large,Fiend (Demon),CE,18,337,"40, fly 40",29,12,25,26,24,26,"DEX, CON, INT, WIS","Deception, Perception, Stealth","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",23.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Undetectable",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Graz'Zt",Large,"Fiend (Demon)
Fiend (Shapechanger)",CE,20,346,40,22,15,21,23,21,26,"DEX, CON, WIS","Deception, Insight, Perception, Persuasion","COldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",24.00,"Shapechanger, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Juiblex",Huge,Fiend (Demon),CE,18,350,30,24,10,23,20,20,16,"DEX, CON, WIS",Perception,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu, unconsciousimmu",Truesight 120,"All, telepathy 120",23.00,"Foul, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Spider Climb",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Orcus",Huge,Fiend (Demon),CE,20,405,"40, fly 40",27,14,25,20,20,25,"DEX, CON, WIS","Arcana, Perception","Coldres, fireres, lightningres, necroticimmu, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",26.00,"Wand of Orcus, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Master of Undeath",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Yeenoghu",Huge,Fiend (Demon),CE,20,333,50,29,16,23,15,24,15,"DEX, CON, WIS","Intimidation, Perception","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",24.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Rampage",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Zuggtmoy",Large,Fiend (Demon),CE,18,304,30,22,15,18,20,19,24,"DEX, CON, WIS",Perception,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",23.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Abyssal Wretch",Medium,Fiend (Demon),CE,11,18,20,9,12,11,5,8,5,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,0.25,None,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Alkilith",Medium,Fiend (Demon),CE,17,157,40,12,19,22,6,11,7,"DEX, CON",Stealth,"Acidres, coldres, fireres, nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,11.00,"Amorphous, False Appearance, Foment Madness, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Armanite",Large,Fiend (Demon),CE,16,84,60,21,18,21,8,12,13,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",7.00,"Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Babau",Medium,Fiend (Demon),CE,16,82,40,19,16,16,11,12,13,None,"Perception, Stealth","Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,Abyssal,4.00,Innate Spellcasting,Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Balor",Huge,Fiend (Demon),CE,19,262,"40, 80 fly",26,15,22,20,16,22,"STR, CON, WIS, CHA",None,"coldres, lightningres, nonmagicalres, fireimmu, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",19.00,"Death Throes, Fire Aura, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
"Demon, Barlgura",Large,Fiend (Demon),CE,15,68,"30, 30 climb",18,15,16,7,14,9,"DEX, CON","Perception, Stealth","Coldres, fireres, lightningres, poisonimmu, poisonedimmu","Blindsight 30, Darkvision 120","Abyssal, telepathy 120",5.00,"Innate Spellcasting, Reckless, Running Leap",Monster Manual,,Wizards of the Coast
"Demon, Bulezau",Medium,Fiend (Demon),CE,14,52,40,15,14,17,8,9,6,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 60",3.00,"Rotting Presence, Standing Leap, Sure-Footed",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Chasme",Large,Fiend (Demon),CE,15,84,"20, fly 60",15,15,12,11,14,10,"DEX, WIS",Perception,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu","Blindsight 10, darkvision 120","Abyssal, telepathy 120",6.00,"Drone, Magic Resistance, Spider Climb",Monster Manual,,Wizards of the Coast
"Demon, Draegloth",Large,Fiend (Demon),CE,15,123,30,20,15,18,13,11,11,None,"Perception, Stealth","COldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, Elvish, Undercommon",7.00,"Fey Ancestry, Innate Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Dretch",small,Fiend (Demon),CE,11,18,20,11,11,12,5,8,3,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 60",0.25,None,Monster Manual,,Wizards of the Coast
"Demon, Dybbuk",Medium,Fiend (Demon),CE,14,37,40 fly,6,19,16,16,15,14,None,"Deception, Intimidation, Perception","Acidres, coldres, fireres, lightiningres, thunderres, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restraindeimmu",Darkvision 120,"Abyssal, Common, telepathy 120",4.00,"Incorporeal Movement, Innate Spellcasting, Magic Resistance, Violate Corpse",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Glabrezu",Large,Fiend (Demon),CE,17,157,40,20,15,21,19,17,16,"STR, CON, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",9.00,"Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
"Demon, Goristro",Huge,Fiend (Demon),CE,19,310,40,25,11,25,6,13,14,"STR, DEX, CON, WIS",Perception,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,Abyssal,17.00,"Charge, Labyrinthine Recall, Magic Resistance, Siege",Monster Manual,,Wizards of the Coast
"Demon, Hezrou",Large,Fiend (Demon),CE,16,136,30,19,17,20,5,12,13,"STR, CON, WIS",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",8.00,"Magic Resistance, Stench",Monster Manual,,Wizards of the Coast
"Demon, Manes",Small,Fiend (Demon),CE,9,9,20,10,9,13,3,8,4,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,Abyssal,0.13,None,Monster Manual,,Wizards of the Coast
"Demon, Marilith",Large,Fiend (Demon),CE,18,189,40,18,20,20,18,16,20,"STR, CON, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",16.00,"Magic Resistance, Magic Weapons, Reactive",Monster Manual,,Wizards of the Coast
"Demon, Maurezhi",Medium,Fiend (Demon),CE,15,88,30,14,17,12,11,12,15,None,Deception,"Coldres, fireres, lightningres, necroticres, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 120,"Abyssal, Elvish, telepathy 120",7.00,"Assume Form, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Maw",Medium,Fiend (Demon),CE,13,33,30,14,8,13,5,8,5,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,Abyssal,1.00,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Molydeus",Huge,Fiend (Demon),CE,19,216,40,28,22,25,21,24,24,"STR, CON, WIS, CHA",Perception,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, blindedimmu, charmedimmu, deafenedimmu, frightenedimmu, poisonedimmu, stunnedimmu",Truesight 120,"Abyssal, telepathy 120",21.00,"Innate Spellcasting, Legendary, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Nabassu",Medium,Fiend (Demon),CE,18,190,"40, fly 60",22,14,21,14,15,17,"STR, DEX",Perception,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 120",15.00,"Demonic Shadows, Devour Soul, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Nalfeshnee",Large,Fiend (Demon),LE,18,184,"20, fly 30",21,10,22,19,12,15,"CON, INT, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",13.00,Magic Resistance,Monster Manual,,Wizards of the Coast
"Demon, Quasit",Tiny,Fiend (Demon),CE,13,7,40,5,17,10,7,10,10,None,Stealth,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, Common",1.00,"Shapechanger, Magic Resistance",Monster Manual,,Wizards of the Coast
"Demon, Rutterkin",Medium,Fiend (Demon),CE,12,37,20,14,15,17,5,12,6,None,None,"COldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,2.00,Crippling Fear,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Shadow",Medium,Fiend (Demon),CE,13,66,"30, fly 30",1,17,12,14,13,14,"DEX, CHA",Stealth,"Radiantweak, acidres, fireres, necroticres, thunderres, nonmagicalres, coldimmu, lightningimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 120,"Abyssal, telepathy 120",4.00,"Incorporeal Movement, Light Sensitivity, Shadow Stealth",Monster Manual,,Wizards of the Coast
"Demon, Shoosuva",Large,Fiend (Demon),CE,14,110,40,18,13,17,7,14,9,"DEX, CON, WIS",None,"COldres, fireres, lightningres, nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,"Abyssal, Gnoll, telepathy 120",8.00,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Sibriex",Huge,Fiend (Demon),CE,19,150,fly 20,10,3,23,25,24,25,"INT, CHA","Arcana, History, Perception","Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"All, telepathy 120",18.00,"Contamination, Innate Spellcasting, Legendary, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Vrock",Large,Fiend (Demon),CE,15,104,"40, fly 60",17,15,18,8,13,8,"DEX, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",6.00,Magic Resistance,Monster Manual,,Wizards of the Coast
"Demon, Wastrilith",Large,Fiend (Demon),CE,18,157,"30, swim 80",19,18,21,19,12,14,"STR, CON",None,"Coldres, fireres, lightningres, nonmagicalres, poisonres, poisonedres",Darkvision 120,"Abyssal, telepathy 120",13.00,"Amphibious, Corrupt Water, Magic Resistance, Undertow",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Yochlol",Medium,Fiend (Demon),CE,15,136,"30, 30 climb",15,14,18,13,15,15,"DEX, INT, WIS, CHA","Deception, Insight","Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, Elvish, Undercommon",10.00,"Shapechanger, Magic Resistance, Spider Climb, Innate Spellcasting, Web Walker",Monster Manual,,Wizards of the Coast
Derro,Small,Humanoid (Derro),CE,13,13,30,10,14,12,11,5,9,None,Stealth,None,Darkvision 120,"Dwarvish, Undercommon",0.25,"Magic Resistance, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Derro Savant,Small,Humanoid (Derro),CE,13,36,30,9,14,12,11,5,14,None,Stealth,None,Darkvision 120,"Dwarvish, Undercommon",3.00,"Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Black",Medium,Fiend (Devil),LE,15,58,"30, fly 40",14,17,14,13,16,11,"DEX, WIS","Perception, Stealth","COldres, nonmagicalres, nonsilveredres, acidimmu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",7.00,"Devil's Sight, Magic Resistance, Magic Weapons, Shadow Stealth",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Blue",Medium,Fiend (Devil),LE,19,195,"30, fly 50",15,14,17,22,23,18,"INT, WIS",Arcana,"Coldres, nonmagicalres, nonsilveredres, fireimmu, lightiningimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",17.00,"Devil's Sight, Magic Resistance, Magic Weapons, Normal Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Green",Medium,Fiend (Devil),LE,18,187,"30, fly 40",12,17,16,17,12,19,"INT, CHA","Deception, Insight, Perception, Persuasion","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",15.00,"Devil's Sight, Innate Spellcasting, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Red",Medium,Fiend (Devil),LE,22,255,"30, fly 50",23,16,19,14,15,19,"STR, CON, WIS","Intimidation, Perception","COldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",19.00,"Devil's SIght, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, White",Medium,Fiend (Devil),LE,15,68,"30, fly 40",16,11,18,11,12,13,"STR, CON",None,"Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",6.00,"Devil's Sight, Magic Resistance, Magic Weapons, Reckless",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Amnizu",Medium,Fiend (Devil),LE,21,202,"30, fly 40",11,13,16,20,12,18,"DEX, CON, WIS, CHA",Perception,"COldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, poisonedimmu",Darkvision 120,"Common, Infernal, telepathy 1000",18.00,"Devil's Sight, Innate Spellcasting, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Bael",Large,Fiend (Devil),LE,18,189,30,24,17,20,21,24,24,"DEX, CON, INT, CHA","Intimidation, Perception, Persuasion","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",19.00,"Dreadful, Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons, Regeneration, Lair",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Geryon",Huge,Fiend (Devil),LE,19,300,"30, fly 50",29,17,22,19,16,23,"DEX, CON, WIS, CHA","Deception, Intimidation, Perception","Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",22.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Hutijin",Large,Fiend (Devil),LE,19,200,"30, fly 60",27,15,25,23,19,25,"DEX, CON, WIS","Intimidation, Perception","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",21.00,"Infernal Despair, Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Moloch",Large,Fiend (Devil),LE,19,253,30,26,19,22,21,18,23,"DEX, CON, WIS, CHA","Deception, Intimidation, Perception","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"All, telepathy 120",21.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Titivilus",Medium,Fiend (Devil),LE,20,127,"40, fly 60",19,22,17,24,22,26,"DEX, CON, WIS, CHA","Deception, Insight, Intimidation, Persuasion","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"All, telepathy 120",16.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Ventriloquism",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Zariel",Large,Fiend (Devil),LE,21,580,"50, fly 150",27,24,28,26,27,30,"INT, WIS, CHA","Intimidation, Perception","Coldres, fireres, radiantres, nonmagicalres, nonsilveredres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"All, telepathy 120",26.00,"Devil's Sight, Fiery Weapons, Innate Spellcasting, Legendary, Lair, Magic Resistance, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Barbed",Medium,Fiend (Devil),LE,15,110,30,16,17,18,12,14,14,"STR, CON, WIS, CHA","Deception, Insight, Perception","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",5.00,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Bearded",Medium,Fiend (Devil),LE,13,52,30,16,15,15,9,11,11,"STR, CON, WIS",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",3.00,"Devil's Sight, Magic Resistance, Steadfast",Monster Manual,,Wizards of the Coast
"Devil, Bone",Large,Fiend (Devil),LE,19,142,"40, 40 fly",18,16,18,13,14,16,"INT, WIS, CHA","Deception, Insight","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",9.00,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Chain",Medium,Fiend (Devil),LE,16,85,30,18,15,18,11,12,14,"CON, WIS, CHA",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",8.00,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Erinyes",Medium,Fiend (Devil),LE,18,153,"30, fly 60",18,16,18,14,14,18,"DEX, CON, WIS, CHA",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Truesight 120,"Infernal, telepathy 120",12.00,"Hellish Weapons, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Hellfire Engine",Huge,Construct,LE,18,216,40,20,16,24,2,10,1,"DEX, WIS, CHA",None,"Coldres, psychicres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, unconsciousimmu",Darkvision 120,Infernal,16.00,"Immutable Form, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Horned",Large,Fiend (Devil),LE,18,178,"20, fly 60",22,17,21,12,16,17,"STR, DEX, WIS, CHA",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",11.00,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Ice",Large,Fiend (Devil),LE,18,180,40,21,14,18,18,15,18,"DEX, CON, WIS, CHA",None,"Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Infernal, telepathy 120",14.00,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Imp",Tiny,Fiend (Devil),LE,13,10,"20, 40 fly",6,17,13,11,12,14,None,"Deception, Insight, Persuasion, Stealth","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, Common",1.00,"Shapechanger, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Lemure",Medium,Fiend (Devil),LE,7,13,15,10,5,11,1,11,3,None,None,"Coldres, fireimmu, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Infernal,0.00,"Devil's Sight, Hellish Rejuvenation",Monster Manual,,Wizards of the Coast
